load model from /root/autodl-tmp/Undergraduate-Graduation-Design-Repository/how_prune/model_zoo/net_300epoch.pth
已对 body.0.embedding 执行剪枝，裁剪率: 10.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.to_q 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.to_k 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.to_v 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.proj 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.pos_emb.0 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.0.0.blocks.0.0.pos_emb.2 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.1.fn.net.0 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.1.fn.net.2 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.0.0.blocks.0.1.fn.net.4 执行剪枝，裁剪率: 10.0%
已对 body.0.encoder_layers.0.1 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.to_q 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.to_k 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.to_v 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.proj 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.pos_emb.0 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.1.0.blocks.0.0.pos_emb.2 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.1.0.blocks.0.1.fn.net.0 执行剪枝，裁剪率: 50.0%
已对 body.0.encoder_layers.1.0.blocks.0.1.fn.net.2 执行剪枝，裁剪率: 10.0%
已对 body.0.encoder_layers.1.0.blocks.0.1.fn.net.4 执行剪枝，裁剪率: 30.0%
已对 body.0.encoder_layers.1.1 执行剪枝，裁剪率: 30.0%
已对 body.0.bottleneck.blocks.0.0.to_q 执行剪枝，裁剪率: 30.0%
已对 body.0.bottleneck.blocks.0.0.to_k 执行剪枝，裁剪率: 50.0%
已对 body.0.bottleneck.blocks.0.0.to_v 执行剪枝，裁剪率: 30.0%
已对 body.0.bottleneck.blocks.0.0.proj 执行剪枝，裁剪率: 30.0%
已对 body.0.bottleneck.blocks.0.0.pos_emb.0 执行剪枝，裁剪率: 30.0%
已对 body.0.bottleneck.blocks.0.0.pos_emb.2 执行剪枝，裁剪率: 50.0%
已对 body.0.bottleneck.blocks.0.1.fn.net.0 执行剪枝，裁剪率: 50.0%
已对 body.0.bottleneck.blocks.0.1.fn.net.2 执行剪枝，裁剪率: 50.0%
已对 body.0.bottleneck.blocks.0.1.fn.net.4 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.0.0 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.0.1 执行剪枝，裁剪率: 10.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.to_q 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.to_k 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.to_v 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.proj 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.pos_emb.0 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.0.2.blocks.0.0.pos_emb.2 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.0.2.blocks.0.1.fn.net.0 执行剪枝，裁剪率: 10.0%
已对 body.0.decoder_layers.0.2.blocks.0.1.fn.net.2 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.0.2.blocks.0.1.fn.net.4 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.0 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.1.1 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.to_q 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.to_k 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.to_v 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.proj 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.pos_emb.0 执行剪枝，裁剪率: 30.0%
已对 body.0.decoder_layers.1.2.blocks.0.0.pos_emb.2 执行剪枝，裁剪率: 50.0%
已对 body.0.decoder_layers.1.2.blocks.0.1.fn.net.0 执行剪枝，裁剪率: 10.0%
已对 body.0.decoder_layers.1.2.blocks.0.1.fn.net.2 执行剪枝，裁剪率: 10.0%
已对 body.0.decoder_layers.1.2.blocks.0.1.fn.net.4 执行剪枝，裁剪率: 50.0%
已对 body.0.mapping 执行剪枝，裁剪率: 10.0%
已对 body.1.encoder_layers.0.0.blocks.0.0.to_q 执行剪枝，裁剪率: 30.0%
已对 body.1.encoder_layers.0.0.blocks.0.0.to_k 执行剪枝，裁剪率: 30.0%
已对 body.1.encoder_layers.0.0.blocks.0.0.to_v 执行剪枝，裁剪率: 50.0%
已对 body.1.encoder_layers.0.0.blocks.0.0.proj 执行剪枝，裁剪率: 50.0%
